timestamp;hash_rate;btc_market_price_usd;transaction_fees_btc;mempool_size;transaction_fees_usd;avg_fee_per_tx_btc;avg_fee_per_tx_usd
2024-09-05 18:00:00;656029935.590572;56615.687500;8.401124;65202700.750000;476689.598828;0.000000;0.000000
2024-09-05 21:00:00;650470359.865228;56390.503750;8.011001;65777743.625000;452359.352991;0.000000;0.000000
2024-09-06 00:00:00;644910784.139884;56165.320000;7.620879;66352786.500000;428029.107155;0.000000;0.000000
2024-09-06 03:00:00;652138232.582831;55888.620000;7.487315;65711728.500000;418714.408410;0.000000;0.000000
2024-09-06 06:00:00;659365681.025778;55611.920000;7.353751;65070670.500000;409399.709666;0.000000;0.000000
2024-09-06 09:00:00;666593129.468725;55335.220000;7.220187;64429612.500000;400085.010921;0.000000;0.000000
2024-09-06 12:00:00;673820577.911672;55058.520000;7.086623;63788554.500000;390770.312177;0.000000;0.000000
2024-09-06 15:00:00;681048026.354619;54781.820000;6.953060;64568228.750000;381455.613432;0.000000;0.000000
2024-09-06 18:00:00;688275474.797566;54505.120000;6.819496;65347903.000000;372140.914688;0.000000;0.000000
2024-09-06 21:00:00;695502923.240513;54228.420000;6.685932;66127577.250000;362826.215943;0.000000;0.000000
2024-09-07 00:00:00;702730371.683460;53951.720000;6.552368;66907251.500000;353511.517199;0.000000;0.000000
2024-09-07 03:00:00;707733989.836269;53977.553750;6.523843;66897271.125000;352135.928534;0.000000;0.000000
2024-09-07 06:00:00;712737607.989079;54003.387500;6.495318;66887290.750000;350760.339869;0.000000;0.000000
2024-09-07 09:00:00;717741226.141888;54029.221250;6.466793;66877310.375000;349384.751204;0.000000;0.000000
2024-09-07 12:00:00;722744844.294698;54055.055000;6.438268;66867330.000000;348009.162539;0.000000;0.000000
2024-09-07 15:00:00;727748462.447507;54080.888750;6.409744;66760408.125000;346633.573874;0.000000;0.000000
2024-09-07 18:00:00;732752080.600317;54106.722500;6.381219;66653486.250000;345257.985208;0.000000;0.000000
2024-09-07 21:00:00;737755698.753126;54132.556250;6.352694;66546564.375000;343882.396543;0.000000;0.000000
2024-09-08 00:00:00;742759316.905936;54158.390000;6.324169;66439642.500000;342506.807878;0.000000;0.000000
2024-09-08 03:00:00;730528250.310179;54245.737500;6.396455;65927143.250000;347024.625616;0.000000;0.000000
2024-09-08 06:00:00;718297183.714423;54333.085000;6.468741;65414644.000000;351542.443353;0.000000;0.000000
2024-09-08 09:00:00;706066117.118667;54420.432500;6.541028;64902144.750000;356060.261090;0.000000;0.000000
2024-09-08 12:00:00;693835050.522910;54507.780000;6.613314;64389645.500000;360578.078827;0.000000;0.000000
2024-09-08 15:00:00;681603983.927154;54595.127500;6.685600;68829896.250000;365095.896564;0.000000;0.000000
2024-09-08 18:00:00;669372917.331397;54682.475000;6.757886;73270147.000000;369613.714301;0.000000;0.000000
2024-09-08 21:00:00;657141850.735641;54769.822500;6.830172;77710397.750000;374131.532038;0.000000;0.000000
2024-09-09 00:00:00;644910784.139884;54857.170000;6.902459;82150648.500000;378649.349775;0.000000;0.000000
2024-09-09 03:00:00;640463123.559609;55131.983750;6.909862;84324462.375000;380968.635798;0.000000;0.000000
2024-09-09 06:00:00;636015462.979334;55406.797500;6.917265;86498276.250000;383287.921821;0.000000;0.000000
2024-09-09 09:00:00;631567802.399059;55681.611250;6.924668;88672090.125000;385607.207844;0.000000;0.000000
2024-09-09 12:00:00;627120141.818784;55956.425000;6.932072;90845904.000000;387926.493867;0.000000;0.000000
2024-09-09 15:00:00;622672481.238509;56231.238750;6.939475;91466857.250000;390245.779889;0.000000;0.000000
2024-09-09 18:00:00;618224820.658234;56506.052500;6.946878;92087810.500000;392565.065912;0.000000;0.000000
2024-09-09 21:00:00;613777160.077959;56780.866250;6.954281;92708763.750000;394884.351935;0.000000;0.000000
2024-09-10 00:00:00;609329499.497684;57055.680000;6.961684;93329717.000000;397203.637958;0.000000;0.000000
2024-09-10 03:00:00;595095667.890755;57128.243750;6.921761;95414755.250000;395407.792759;0.000000;0.000476
2024-09-10 06:00:00;580861836.283825;57200.807500;6.881838;97499793.500000;393611.947560;0.000000;0.000951
2024-09-10 09:00:00;566628004.676896;57273.371250;6.841915;99584831.750000;391816.102360;0.000000;0.001427
2024-09-10 12:00:00;552394173.069967;57345.935000;6.801992;101669870.000000;390020.257161;0.000000;0.001903
2024-09-10 15:00:00;538160341.463038;57418.498750;6.762069;101404373.250000;388224.411962;0.000000;0.002378
2024-09-10 18:00:00;523926509.856108;57491.062500;6.722146;101138876.500000;386428.566763;0.000000;0.002854
2024-09-10 21:00:00;509692678.249179;57563.626250;6.682223;100873379.750000;384632.721563;0.000000;0.003330
2024-09-11 00:00:00;495458846.642250;57636.190000;6.642300;100607883.000000;382836.876364;0.000000;0.003805
2024-09-11 03:00:00;521054342.631704;57599.838750;6.853455;102628348.333333;394704.194557;0.000000;0.003330
2024-09-11 06:00:00;546649838.621157;57563.487500;7.064611;104648813.666667;406571.512749;0.000000;0.002854
2024-09-11 09:00:00;572245334.610611;57527.136250;7.275766;106669279.000000;418438.830942;0.000000;0.002378
2024-09-11 12:00:00;597840830.600064;57490.785000;7.486921;108179994.000000;430306.149135;0.000000;0.001903
2024-09-11 15:00:00;623436326.589518;57454.433750;7.698076;109690709.000000;442173.467327;0.000000;0.001427
2024-09-11 18:00:00;649031822.578972;57418.082500;7.909231;111201424.000000;454040.785520;0.000000;0.000951
2024-09-11 21:00:00;674627318.568425;57381.731250;8.120386;112712139.000000;465908.103712;0.000000;0.000476
2024-09-12 00:00:00;700222814.557879;57345.380000;8.331542;111561176.750000;477775.421905;0.000000;0.000000
2024-09-12 03:00:00;683523421.776482;57444.270000;8.227042;110410214.500000;472524.067515;0.000000;0.000000
2024-09-12 06:00:00;666824028.995085;57543.160000;8.122542;109259252.250000;467272.713125;0.000000;0.000000
2024-09-12 09:00:00;650124636.213688;57642.050000;8.018042;108108290.000000;462021.358735;0.000000;0.000000
2024-09-12 12:00:00;633425243.432292;57740.940000;7.913542;110370387.125000;456770.004345;0.000000;0.000000
2024-09-12 15:00:00;616725850.650895;57839.830000;7.809042;112632484.250000;451518.649955;0.000000;0.000000
2024-09-12 18:00:00;600026457.869498;57938.720000;7.704542;114894581.375000;446267.295565;0.000000;0.000000
2024-09-12 21:00:00;583327065.088101;58037.610000;7.600042;117156678.500000;441015.941175;0.000000;0.000000
2024-09-13 00:00:00;566627672.306704;58136.500000;7.495542;116756687.375000;435764.586785;0.000000;0.000000
2024-09-13 03:00:00;575841130.392992;58440.176250;7.383420;116356696.250000;431249.994667;0.000000;0.000000
2024-09-13 06:00:00;585054588.479280;58743.852500;7.271297;115956705.125000;426735.402548;0.000000;0.000000
2024-09-13 09:00:00;594268046.565568;59047.528750;7.159174;115556714.000000;422220.810430;0.000000;0.000000
2024-09-13 12:00:00;603481504.651856;59351.205000;7.047052;115428743.000000;417706.218312;0.000000;0.000000
2024-09-13 15:00:00;612694962.738144;59654.881250;6.934929;115300772.000000;413191.626193;0.000000;0.000000
2024-09-13 18:00:00;621908420.824432;59958.557500;6.822806;115172801.000000;408677.034075;0.000000;0.000000
